,0,1,,,
0,CA,Beloeil,,CA,221
1,CA,Gatineau,,US,2699
2,CA,Truro,,,
3,CA,Thetford-Mines,,,
4,CA,Burnaby,,,
5,CA,North Vancouver,,,
6,CA,Lethbridge,,,
7,CA,Sarnia,,,
8,CA,New Westminster,,,
9,CA,Mirabel,,,
10,CA,Halifax,,,
11,CA,Moncton,,,
12,CA,Willowdale,,,
13,CA,Parksville,,,
14,CA,Dieppe,,,
15,CA,Langley,,,
16,CA,North Bay,,,
17,CA,Laval,,,
18,CA,Cornwall,,,
19,CA,Saint-Augustin-de-Desmaures,,,
20,CA,Fort St. John,,,
21,CA,Huntsville,,,
22,CA,Brant,,,
23,CA,Guelph,,,
24,CA,Beaconsfield,,,
25,CA,Boisbriand,,,
26,CA,Ancaster,,,
27,CA,New Glasgow,,,
28,CA,Dorval,,,
29,CA,Fort McMurray,,,
30,CA,Burlington,,,
31,CA,Sherwood Park,,,
32,CA,Pointe-Claire,,,
33,CA,Walnut Grove,,,
34,CA,Saint-Jean-sur-Richelieu,,,
35,CA,Kingston,,,
36,CA,Val-d'Or,,,
37,CA,Kamloops,,,
38,CA,Nanaimo,,,
39,CA,Kirkland,,,
40,CA,Whitehorse,,,
41,CA,Saint John,,,
42,CA,Saint-Constant,,,
43,CA,Baie-Comeau,,,
44,CA,Petawawa,,,
45,CA,Edmonton,,,
46,CA,Fort Erie,,,
47,CA,Thunder Bay,,,
48,CA,Blainville,,,
49,CA,Richmond Hill,,,
50,CA,Boucherville,,,
51,CA,Amos,,,
52,CA,Milton,,,
53,CA,Orillia,,,
54,CA,Repentigny,,,
55,CA,Rivière-du-Loup,,,
56,CA,Rimouski,,,
57,CA,Calgary,,,
58,CA,Keswick,,,
59,CA,Saint-Léonard,,,
60,CA,West End,,,
61,CA,Brandon,,,
62,CA,Campbell River,,,
63,CA,Orangeville,,,
64,CA,Victoria,,,
65,CA,Courtenay,,,
66,CA,Fredericton,,,
67,CA,Corner Brook,,,
68,CA,Sherbrooke,,,
69,CA,Salmon Arm,,,
70,CA,Cranbrook,,,
71,CA,Charlottetown,,,
72,CA,Edmundston,,,
73,CA,Owen Sound,,,
74,CA,Cobourg,,,
75,CA,St. Catharines,,,
76,CA,St. Thomas,,,
77,CA,Alma,,,
78,CA,Vernon,,,
79,CA,Glace Bay,,,
80,CA,Airdrie,,,
81,CA,Rayside-Balfour,,,
82,CA,Port Colborne,,,
83,CA,Waterloo,,,
84,CA,Kitchener,,,
85,CA,Mississauga,,,
86,CA,Camrose,,,
87,CA,Joliette,,,
88,CA,Prince Edward,,,
89,CA,Bellechasse Regional County Municipality,,,
90,CA,Anmore,,,
91,CA,Etobicoke,,,
92,CA,Victoriaville,,,
93,CA,Sainte-Julie,,,
94,CA,Mascouche,,,
95,CA,Côte-Saint-Luc,,,
96,CA,Langley,,,
97,CA,Chambly,,,
98,CA,Brockville,,,
99,CA,Pickering,,,
100,CA,Norfolk County,,,
101,CA,Coquitlam,,,
102,CA,Sept-Îles,,,
103,CA,Dartmouth,,,
104,CA,La Prairie,,,
105,CA,Port Alberni,,,
106,CA,Medicine Hat,,,
107,CA,Port Moody,,,
108,CA,Yellowknife,,,
109,CA,Winnipeg,,,
110,CA,St. Albert,,,
111,CA,Abbotsford,,,
112,CA,Prince George,,,
113,CA,Windsor,,,
114,CA,Collingwood,,,
115,CA,Magog,,,
116,CA,Leduc,,,
117,CA,Clarence-Rockland,,,
118,CA,Oshawa,,,
119,CA,Rouyn-Noranda,,,
120,CA,Hamilton,,,
121,CA,Greater Napanee,,,
122,CA,Vaudreuil-Dorion,,,
123,CA,Vaughan,,,
124,CA,Saguenay,,,
125,CA,Ajax,,,
126,CA,Moose Jaw,,,
127,CA,Westmount,,,
128,CA,North Battleford,,,
129,CA,Okanagan,,,
130,CA,West Kelowna,,,
131,CA,Duncan,,,
132,CA,Kelowna,,,
133,CA,Saint-Basile-le-Grand,,,
134,CA,Cambridge,,,
135,CA,Trois-Rivières,,,
136,CA,Saint-Laurent,,,
137,CA,Saint-Lazare,,,
138,CA,London,,,
139,CA,Cochrane,,,
140,CA,Lower Sacvkille,,,
141,CA,Welland,,,
142,CA,Penticton,,,
143,CA,Newmarket,,,
144,CA,Prince Albert,,,
145,CA,L'Ancienne-Lorette,,,
146,CA,Maple Ridge,,,
147,CA,Montréal,,,
148,CA,Salaberry-de-Valleyfield,,,
149,CA,Conception Bay South,,,
150,CA,Chilliwack,,,
151,CA,Greater Sudbury,,,
152,CA,Red Deer,,,
153,CA,Peterborough,,,
154,CA,Lévis,,,
155,CA,North York,,,
156,CA,St. John's,,,
157,CA,Deux-Montagnes,,,
158,CA,Varennes,,,
159,CA,Langford,,,
160,CA,Shawinigan,,,
161,CA,Saint-Hyacinthe,,,
162,CA,Drummondville,,,
163,CA,Quinte West,,,
164,CA,Timmins,,,
165,CA,Regina,,,
166,CA,Brantford,,,
167,CA,Longueuil,,,
168,CA,Pembroke,,,
169,CA,Sorel-Tracy,,,
170,CA,Dollard-Des Ormeaux,,,
171,CA,Belleville,,,
172,CA,Terrebonne,,,
173,CA,Mount Pearl,,,
174,CA,Terrace,,,
175,CA,Sainte-Catherine,,,
176,CA,Québec,,,
177,CA,Saint-Jérôme,,,
178,CA,Yorkton,,,
179,CA,Candiac,,,
180,CA,Châteauguay,,,
181,CA,Oak Bay,,,
182,CA,Barrie,,,
183,CA,Sydney,,,
184,CA,Markham,,,
185,CA,Pitt Meadows,,,
186,CA,Richmond,,,
187,CA,Toronto,,,
188,CA,Jonquière,,,
189,CA,West Vancouver,,,
190,CA,Mont-Royal,,,
191,CA,Cole Harbour,,,
192,CA,Saint-Eustache,,,
193,CA,Scarborough,,,
194,CA,White Rock,,,
195,CA,Stratford,,,
196,CA,Miramichi,,,
197,CA,Sault Ste. Marie,,,
198,CA,Midland,,,
199,CA,Bradford West Gwillimbury,,,
200,CA,Thorold,,,
201,CA,Lloydminster,,,
202,CA,Saint-Bruno-de-Montarville,,,
203,CA,Vancouver,,,
204,CA,L'Assomption,,,
205,CA,Niagara Falls,,,
206,CA,Spruce Grove,,,
207,CA,Granby,,,
208,CA,Ladner,,,
209,CA,Saskatoon,,,
210,CA,Brossard,,,
211,CA,Surrey,,,
212,CA,Oakville,,,
213,CA,Woodstock,,,
214,CA,Mont-Saint-Hilaire,,,
215,CA,Ottawa,,,
216,CA,Sainte-Thérèse,,,
217,CA,North Cowichan,,,
218,CA,Grande Prairie,,,
219,CA,Brampton,,,
220,CA,Delta,,,
221,US,Monroe,,,
222,US,Oak Ridge,,,
223,US,Clinton,,,
224,US,Laurel,,,
225,US,Great Bend,,,
226,US,Pueblo West,,,
227,US,Watertown,,,
228,US,Alhambra,,,
229,US,Golden,,,
230,US,‘Ewa Gentry,,,
231,US,Bloomington,,,
232,US,Navarre,,,
233,US,Donna,,,
234,US,San Pablo,,,
235,US,Stevens Point,,,
236,US,Fullerton,,,
237,US,Phenix City,,,
238,US,Fairview Park,,,
239,US,Drexel Heights,,,
240,US,Bristol,,,
241,US,Easton,,,
242,US,Seabrook,,,
243,US,Carpentersville,,,
244,US,Cedar Rapids,,,
245,US,East Independence,,,
246,US,San Leandro,,,
247,US,Rochester,,,
248,US,Langley Park,,,
249,US,Parma,,,
250,US,Shenandoah,,,
251,US,Buckeye,,,
252,US,Schaumburg,,,
253,US,Parkville,,,
254,US,Kearney,,,
255,US,Estero,,,
256,US,Tonawanda,,,
257,US,Shively,,,
258,US,Woodland Hills,,,
259,US,Woodland,,,
260,US,West Hempstead,,,
261,US,Trenton,,,
262,US,East Meadow,,,
263,US,East Massapequa,,,
264,US,Wellington,,,
265,US,Hagerstown,,,
266,US,North Creek,,,
267,US,Frisco,,,
268,US,Alpharetta,,,
269,US,Elko,,,
270,US,Long Beach,,,
271,US,Woonsocket,,,
272,US,Gahanna,,,
273,US,Sumter,,,
274,US,Millcreek,,,
275,US,Cary,,,
276,US,Caledonia,,,
277,US,Frederickson,,,
278,US,Port Hueneme,,,
279,US,Farragut,,,
280,US,Green Haven,,,
281,US,Sun Prairie,,,
282,US,Winchester,,,
283,US,Woodstock,,,
284,US,Colorado Springs,,,
285,US,Orangevale,,,
286,US,New Castle,,,
287,US,Newnan,,,
288,US,Indio,,,
289,US,Post Falls,,,
290,US,Winston-Salem,,,
291,US,Monroe,,,
292,US,Bradenton,,,
293,US,Bridgeport,,,
294,US,Olympia,,,
295,US,San Gabriel,,,
296,US,Sedalia,,,
297,US,Aliso Viejo,,,
298,US,Parkland,,,
299,US,Centennial,,,
300,US,Plum,,,
301,US,New City,,,
302,US,Downey,,,
303,US,South Portland Gardens,,,
304,US,Mercer Island,,,
305,US,South Bend,,,
306,US,Johnston,,,
307,US,Lansing,,,
308,US,Eagan,,,
309,US,Mandan,,,
310,US,Palm Springs,,,
311,US,East Palo Alto,,,
312,US,Fremont,,,
313,US,College Station,,,
314,US,Sioux Falls,,,
315,US,Jamaica,,,
316,US,Holden,,,
317,US,Wilmington,,,
318,US,Paramus,,,
319,US,New Lenox,,,
320,US,Yuba City,,,
321,US,Upper Saint Clair,,,
322,US,Selma,,,
323,US,San Fernando,,,
324,US,Sammamish,,,
325,US,Issaquah,,,
326,US,Artesia,,,
327,US,Gary,,,
328,US,Magna,,,
329,US,Cohoes,,,
330,US,Americus,,,
331,US,Coeur d'Alene,,,
332,US,Oak Ridge,,,
333,US,Marion,,,
334,US,Pleasanton,,,
335,US,Shakopee,,,
336,US,Kendall,,,
337,US,Moreno Valley,,,
338,US,Vandalia,,,
339,US,Liberal,,,
340,US,Taunton,,,
341,US,Norfolk,,,
342,US,Shawnee,,,
343,US,Superior,,,
344,US,North Glendale,,,
345,US,Owosso,,,
346,US,Newport,,,
347,US,Cottonwood Heights,,,
348,US,West Chester,,,
349,US,Oro Valley,,,
350,US,Catonsville,,,
351,US,Allendale,,,
352,US,Key West,,,
353,US,Tahlequah,,,
354,US,Weirton,,,
355,US,Defiance,,,
356,US,Franklin,,,
357,US,Greater Northdale,,,
358,US,Longmont,,,
359,US,The Villages,,,
360,US,Mamaroneck,,,
361,US,Auburn,,,
362,US,Westchester,,,
363,US,Chula Vista,,,
364,US,Country Club Hills,,,
365,US,Chalmette,,,
366,US,East Point,,,
367,US,Oviedo,,,
368,US,Norton Shores,,,
369,US,Scarsdale,,,
370,US,Granger,,,
371,US,East Setauket,,,
372,US,Carol City,,,
373,US,Paradise,,,
374,US,Rolla,,,
375,US,Somerset,,,
376,US,West Gulfport,,,
377,US,Ankeny,,,
378,US,Belton,,,
379,US,Cottage Grove,,,
380,US,Town 'n' Country,,,
381,US,Fishers,,,
382,US,Houma,,,
383,US,St. Marys,,,
384,US,Manhattan,,,
385,US,Security-Widefield,,,
386,US,Roselle,,,
387,US,Slidell,,,
388,US,South Salt Lake,,,
389,US,Egypt Lake-Leto,,,
390,US,Lewiston Orchards,,,
391,US,Bellflower,,,
392,US,Porterville,,,
393,US,Irvington,,,
394,US,Bethlehem,,,
395,US,Grafton,,,
396,US,Bremerton,,,
397,US,New Bern,,,
398,US,Forest Grove,,,
399,US,Big Spring,,,
400,US,Utica,,,
401,US,Gadsden,,,
402,US,Elkton,,,
403,US,Forest Park,,,
404,US,Freeport,,,
405,US,Chattanooga,,,
406,US,Jackson,,,
407,US,Newark,,,
408,US,Saint Clair Shores,,,
409,US,Portsmouth,,,
410,US,Orchards,,,
411,US,Yarmouth,,,
412,US,Mattoon,,,
413,US,Massillon,,,
414,US,Burbank,,,
415,US,Huntersville,,,
416,US,Rio Rico,,,
417,US,Monterey Park,,,
418,US,Prichard,,,
419,US,Horn Lake,,,
420,US,Grosse Pointe Woods,,,
421,US,Ives Estates,,,
422,US,Toms River,,,
423,US,Vestavia Hills,,,
424,US,Albany,,,
425,US,Concord,,,
426,US,Burlington,,,
427,US,Mount Pleasant,,,
428,US,Clovis,,,
429,US,Wade Hampton,,,
430,US,Shoreview,,,
431,US,Whitney,,,
432,US,Pacific Grove,,,
433,US,Yorba Linda,,,
434,US,Trotwood,,,
435,US,Chelmsford,,,
436,US,Hanford,,,
437,US,Valley Station,,,
438,US,West Puente Valley,,,
439,US,Melrose,,,
440,US,Morton Grove,,,
441,US,Hermosa Beach,,,
442,US,Webster Groves,,,
443,US,Chicago Heights,,,
444,US,Oak Forest,,,
445,US,Montgomery,,,
446,US,Middleton,,,
447,US,Alameda,,,
448,US,Crofton,,,
449,US,Charleston,,,
450,US,Monsey,,,
451,US,Redland,,,
452,US,Melbourne,,,
453,US,Shorewood,,,
454,US,Golden Valley,,,
455,US,Avondale,,,
456,US,Farmington,,,
457,US,Olney,,,
458,US,Seven Oaks,,,
459,US,Onalaska,,,
460,US,Jupiter,,,
461,US,Hot Springs,,,
462,US,Alvin,,,
463,US,Lakewood,,,
464,US,Crawfordsville,,,
465,US,Dolton,,,
466,US,Lake in the Hills,,,
467,US,Bayside,,,
468,US,Lockport,,,
469,US,Marina,,,
470,US,Borough of Queens,,,
471,US,Hyattsville,,,
472,US,Keizer,,,
473,US,Shirley,,,
474,US,Tifton,,,
475,US,Springboro,,,
476,US,Augusta,,,
477,US,East Pensacola Heights,,,
478,US,Converse,,,
479,US,Tualatin,,,
480,US,Fremont,,,
481,US,Methuen,,,
482,US,Dover,,,
483,US,Mobile,,,
484,US,Bloomingdale,,,
485,US,Rochester Hills,,,
486,US,Pinellas Park,,,
487,US,Coronado,,,
488,US,Woodbridge,,,
489,US,Fayetteville,,,
490,US,Camarillo,,,
491,US,Santa Clarita,,,
492,US,West Hills,,,
493,US,Niagara Falls,,,
494,US,Rockville Centre,,,
495,US,Ojus,,,
496,US,Denver,,,
497,US,Crest Hill,,,
498,US,Rocky Mount,,,
499,US,Rosemount,,,
500,US,Avon,,,
501,US,Glendale,,,
502,US,Muskegon,,,
503,US,Dundalk,,,
504,US,New Brunswick,,,
505,US,Nipomo,,,
506,US,Prospect Heights,,,
507,US,Pendleton,,,
508,US,Cloverleaf,,,
509,US,Boston,,,
510,US,Sherwood,,,
511,US,Mayfield Heights,,,
512,US,Rock Hill,,,
513,US,Gilroy,,,
514,US,Norwalk,,,
515,US,Midwest City,,,
516,US,Rosamond,,,
517,US,Middletown,,,
518,US,Evans,,,
519,US,Evanston,,,
520,US,Fallbrook,,,
521,US,Elizabethtown,,,
522,US,North Babylon,,,
523,US,North Amityville,,,
524,US,Cañon City,,,
525,US,Troy,,,
526,US,Ponca City,,,
527,US,Redondo Beach,,,
528,US,Blue Springs,,,
529,US,Newburyport,,,
530,US,Waterville,,,
531,US,Goodyear,,,
532,US,Matthews,,,
533,US,Fort Walton Beach,,,
534,US,Bryant,,,
535,US,Redmond,,,
536,US,Longview,,,
537,US,Del Rio,,,
538,US,Athens,,,
539,US,Radnor,,,
540,US,Friendswood,,,
541,US,Cibolo,,,
542,US,Scottsdale,,,
543,US,Godfrey,,,
544,US,Riverview,,,
545,US,Olive Branch,,,
546,US,Ansonia,,,
547,US,Maple Shade,,,
548,US,Martinez,,,
549,US,Saratoga Springs,,,
550,US,Monterey,,,
551,US,Braintree,,,
552,US,Elmwood Park,,,
553,US,Amarillo,,,
554,US,Quincy,,,
555,US,Lawrenceville,,,
556,US,DeKalb,,,
557,US,Dubuque,,,
558,US,Westford,,,
559,US,Abington,,,
560,US,Hope Mills,,,
561,US,Jersey City,,,
562,US,Norco,,,
563,US,Eagle Pass,,,
564,US,Buffalo,,,
565,US,Marana,,,
566,US,Sugar Hill,,,
567,US,Sulphur,,,
568,US,Newport,,,
569,US,Willowbrook,,,
570,US,Bristol,,,
571,US,Brandon,,,
572,US,Centereach,,,
573,US,Hacienda Heights,,,
574,US,Scotch Plains,,,
575,US,Warner Robins,,,
576,US,Bear,,,
577,US,Lawton,,,
578,US,Chapel Hill,,,
579,US,Holly Springs,,,
580,US,Algonquin,,,
581,US,Brockton,,,
582,US,Hicksville,,,
583,US,Oswego,,,
584,US,Jenks,,,
585,US,Estelle,,,
586,US,Marion,,,
587,US,Ramona,,,
588,US,American Fork,,,
589,US,South Elgin,,,
590,US,Mukilteo,,,
591,US,Lexington,,,
592,US,Springfield,,,
593,US,Mansfield,,,
594,US,Ashtabula,,,
595,US,North Peoria,,,
596,US,Glassmanor,,,
597,US,Ridgecrest,,,
598,US,Bryan,,,
599,US,Poplar Bluff,,,
600,US,Farmington,,,
601,US,Marion,,,
602,US,Pasco,,,
603,US,West Palm Beach,,,
604,US,Willingboro,,,
605,US,West Memphis,,,
606,US,Union,,,
607,US,Waverly,,,
608,US,Oregon,,,
609,US,Pickerington,,,
610,US,Newark,,,
611,US,Casper,,,
612,US,Liberty,,,
613,US,Junction City,,,
614,US,Colton,,,
615,US,Agawam,,,
616,US,Fairfield Heights,,,
617,US,Buffalo Grove,,,
618,US,Laurel,,,
619,US,San Tan Valley,,,
620,US,Claremont,,,
621,US,Elk Grove,,,
622,US,Banning,,,
623,US,Spokane Valley,,,
624,US,Gautier,,,
625,US,Pasadena,,,
626,US,Angleton,,,
627,US,Pine Bluff,,,
628,US,Palm Bay,,,
629,US,Lutz,,,
630,US,Collierville,,,
631,US,Sunnyside,,,
632,US,Macon,,,
633,US,West Islip,,,
634,US,Hillside,,,
635,US,Fruit Cove,,,
636,US,Clarksville,,,
637,US,State College,,,
638,US,Oak Harbor,,,
639,US,Southbridge,,,
640,US,Broadview Heights,,,
641,US,Vancouver,,,
642,US,Rialto,,,
643,US,Newton,,,
644,US,Westport,,,
645,US,Goleta,,,
646,US,Bentonville,,,
647,US,Trussville,,,
648,US,Allen Park,,,
649,US,Saco,,,
650,US,Apex,,,
651,US,Eau Claire,,,
652,US,Troutdale,,,
653,US,Aberdeen,,,
654,US,Sapulpa,,,
655,US,Columbus,,,
656,US,Summerville,,,
657,US,King of Prussia,,,
658,US,Arnold,,,
659,US,Highland,,,
660,US,Rio Rancho,,,
661,US,Anacortes,,,
662,US,Texarkana,,,
663,US,Fort Wayne,,,
664,US,Grayslake,,,
665,US,Farmington,,,
666,US,Anderson,,,
667,US,Framingham,,,
668,US,Framingham Center,,,
669,US,Gallup,,,
670,US,Columbine,,,
671,US,Norland,,,
672,US,Mission Viejo,,,
673,US,Orange,,,
674,US,Shreveport,,,
675,US,Natick,,,
676,US,Milwaukie,,,
677,US,Plainfield,,,
678,US,Oakdale,,,
679,US,Holladay,,,
680,US,Kannapolis,,,
681,US,Foster City,,,
682,US,Findlay,,,
683,US,Alliance,,,
684,US,Middletown,,,
685,US,American Canyon,,,
686,US,University Park,,,
687,US,Rancho San Diego,,,
688,US,Amherst,,,
689,US,Concord,,,
690,US,Fresno,,,
691,US,Grand Junction,,,
692,US,West Carson,,,
693,US,Westminster,,,
694,US,West New York,,,
695,US,West Orange,,,
696,US,South Miami Heights,,,
697,US,Paducah,,,
698,US,Perrysburg,,,
699,US,Palm Valley,,,
700,US,Hobart,,,
701,US,Avenal,,,
702,US,Greenville,,,
703,US,North Royalton,,,
704,US,Windham,,,
705,US,Covington,,,
706,US,Tooele,,,
707,US,Cantonment,,,
708,US,Saint Michael,,,
709,US,Summerlin South,,,
710,US,West Springfield,,,
711,US,Setauket-East Setauket,,,
712,US,Gresham,,,
713,US,Sylvania,,,
714,US,Urbana,,,
715,US,Opelousas,,,
716,US,Columbus,,,
717,US,Louisville,,,
718,US,Boulder City,,,
719,US,North Tustin,,,
720,US,Bloomington,,,
721,US,Horizon City,,,
722,US,Yucaipa,,,
723,US,Diamond Bar,,,
724,US,Moline,,,
725,US,Mokena,,,
726,US,Blaine,,,
727,US,Covina,,,
728,US,Sikeston,,,
729,US,Central Falls,,,
730,US,Shafter,,,
731,US,Saint Matthews,,,
732,US,Cheektowaga,,,
733,US,Duncanville,,,
734,US,Centerville,,,
735,US,South Pasadena,,,
736,US,Hammond,,,
737,US,Salmon Creek,,,
738,US,Union Hill-Novelty Hill,,,
739,US,Acton,,,
740,US,Altamonte Springs,,,
741,US,Tacoma,,,
742,US,Cleburne,,,
743,US,Winter Park,,,
744,US,Citrus Heights,,,
745,US,Creve Coeur,,,
746,US,Wethersfield,,,
747,US,Gardner,,,
748,US,Barstow Heights,,,
